time_of_review,timestamp,product_id,product_name,summary,review,bin_sentiment
2020-12-21 11:15:51,1608549351,B00904JILO,NETGEAR Push2TV Wireless Display HDMI Adapter with Miracast (PTV3000) Certified for use with Kindle Fire HDX,Could not get it to display tablet screen.,"Used two different Lenovo Tablet 2 devices with Windows 8 and 8.1. It would see the device and connect to it. Connection would show on the TV screen and tablet would confirm it was connected but it would never give the option to send the display to the screen when trying to switch over to remote display.Updated all drivers, even downgraded some drivers to try older ones as we had an older Push2TV that would work with our Tablet 2's. Tried original firmware that came on the device as well as the latest firmware with no change in behavior.I returned this item after about 5 hours of total time trying to get it to work.",0.0
2020-12-21 11:52:01,1608551521,B00CDS9HTM,AmazonBasics Large DSLR Gadget Bag (Gray interior),"Useful and roomy, just trim the pointies","Top flap has velcro strips so you can flip it down and have it reasonably secure without using the main straps. However, you'll still have to zip it for the flap to stay in place (else it just takes the unzipped lid with it). Side pockets expand about an inch. Front pocket has some organization for pens, memory cards, etc.and a zippered mesh compartment. Main lid also has a zippered mesh.Main compartment has a slot for a small tablet such as iPad Mini, Google Nexus 7, Amazon Kindle Fire. Enough storage for a DSLR and three lenses. Interior 10.25&#34; x 4.5&#34; with some give, and configurable, padded dividers. However, the velcro strips have sharp, pointy corners, so be careful - you may want to trim these.Shoulder strap has plastic hardware (clasps, etc.), so it may feel a bit cheap (it certainly sounds cheap). But they seem sturdy enough to handle whatever you'd normally put in this bag, unless it's a bowling ball.Two wide, rubber feet to stabilize it.All in all a good buy for $25.",1.0
2020-12-21 12:04:26,1608552266,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,Excellent cord,Exactly what I needed. Original charger cord was just too short for my needs.  This cord is sturdy and the connector is solid.,1.0
2020-12-21 12:19:51,1608553191,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,"Snug Fit, Long Cord",Good charger. It has a very snug fit into the device and a nice length cord to be able to continue using the device while charging.,1.0
2020-12-21 12:28:33,1608553713,B00D18U63O,"Surface 2 and 1 Sleeve, Snugg - Purple Leather Sleeve Case Protective Cover for Surface 2 and 1",William's Review,Outstanding product!! I would highly reccomend as protection for the very slim Microsoft Surface! AAA+++ very happy this purchase . Super!,1.0
2020-12-21 12:35:34,1608554134,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,"Well Made, Good Value","Works as well as OEM, priced a LOT better, and gives that extra length we all need that the OEM cords don't provide.  The cord is wrapped in a better, tougher, material than the OEM cord on my Galaxy Note 10.1 (n8013).  The price is VERY good compared to OEM and better than others I searched for with the extra length.  Good Purchase.",1.0
2020-12-21 12:44:01,1608554641,B00D18U63O,"Surface 2 and 1 Sleeve, Snugg - Purple Leather Sleeve Case Protective Cover for Surface 2 and 1",Great Look And Feel,"The reviews were so positive that I decided to buy one and I too am a fan.  It looks great, feels great and protects great.  But for the Record - It is not real leather.  The Description Reads: PU Leather.  PU means &#34;poly urethane&#34; - in other words, synthetic man made leather.  As far as I'm concerned, this is not a negative and the interior is soft and plush.  I originally bought this for a Surface Pro 2 but I find myself using it more with my companion - Lenovo ThinkPad Tablet 2, which is a 10.1&#34; Win 8 tablet.  I love this little case, it carries nicely in the hand on it's own or fits into a laptop bag easily without adding bulk.  I highly recommend it.",1.0
2020-12-21 12:52:10,1608555130,B00CDS9HTM,AmazonBasics Large DSLR Gadget Bag (Gray interior),Totally affordable and roomy...,"This bag goes with us EVERYWHERE (trips, car rides, sporting events, park, etc)!  The outside is made of durable, water repellent nylon.  Not water proof - don't sit it in a puddle or leave it in the rain.  I use the adjustable shoulder strap but my husband prefers the handle on top.  The best part is the pockets!  There are 6 of them to hold everything from electronics to baby bottles.  We seriously use this bag to carry so many different items.  Pretty sure they intended this to be a camera bag but it has many uses.The bag was FREE to me because I'm a VINE member but I would have no problem spending the $24.99 list price.",1.0
2020-12-21 12:53:34,1608555214,B00728ZB8O,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Silver),Works Well As Expected,"I bought this camera to record our trip to Key West where my wife competed in the Swim Around Key West - a 12.5 mile open ocean swim race - as well as the trip in general. The conditions this year were terrible with high winds and a good deal of waves plus the water being all dirty and stirred up, blowing sand and so forth. I used the camera extensively in these conditions and even 'tested it' by accidentally dropping it several times onto sand or hard packed earth. At one point, I waded out to snap the swimmers, but got knocked off my feet by a big wave and dropped the camera into the surf. It got banged around a bit until I picked it back up. I figure it got waved tumbled 3 or 4 times onto the loose coral type sand Key West sports. The camera took it all in stride.Given this is a P&S; JPEG only camera, I didn't expect the quality of the output to equal, say, my Canon 5D2 or my friend's Hassie H3 - let's get real here, but for what it is, it worked very well. The pictures are generally high quality with acceptable noise and except for the usual cropping need due to the LCD area not being what the lens captures, don't really need any post processing. Color balance was better than average for this class of camera too with a bit of a bias toward the warm side.The downsides are for me, the flash. This has one eager flash ready to go off when I don't think it's needed and when it does, all too often it creates hot spots ruining the photo. I found the camera's performance all right in normal indoor lighting without the flash so I turned it off entirely and never missed it. I wish there was a setting to lower the flash's output to use as fill lighting but then again, we're getting into DSLR territory for that feature. Another downside, which is universal in this category, is lack of RAW output. Yeah, I know - few wish this but it'd mean we could get so much more out of the camera through post processing. I just cannot give a five star rating to a JPEG only camera.On the up side, the menu system is the best I've ever seen - well laid out and easy to understand even for my wife who is a militant against complex cameras. She used the camera happily (the first one she has ever been happy with) and got some really terrific HD movies and stills in the Butterfly Museum at macro distances.Overall, I'm happy but sure would like a RAW option.",1.0
2020-12-21 12:59:18,1608555558,B00947LCZW,10W Rapid Charger Samsung-Galaxy Note 10.1 Gt-n8013 Tab 2 10.1 Gt-p5113 Sgh-i497 Sch-i915 7.0 Gt-p3113 Gt-p3100 Sch-i705 Note-Tab-2-10.1 8.9 7.7 7 Tablet uL Listed Extra Long AC Adapter,Works like it should on Samsung Galaxy Note 10.1,Can't complain one bit. This one works just fine and I see no need for improvement. I use with Samsung Galaxy Note 10.1.,1.0
